0.00;0,486;1
0.10;3,992;8
0.20;4,941;10
0.30;5,898;12
0.40;6,497;13
0.50;7,410;15
0.60;8,522;17
0.70;9,574;19
0.80;9,929;20
0.90;11,44;22
1.00;11,42;22
